Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,15.610000,26.809999,14.450000,18.209999,18.209999,0
2016-01-01,22.480000,32.090000,19.250000,20.200001,20.200001,0
2016-02-01,21.320000,30.900000,18.379999,20.549999,20.549999,0
2016-03-01,19.840000,20.170000,13.060000,13.950000,13.950000,0
2016-04-01,15.230000,17.090000,12.500000,15.700000,15.700000,0
2016-05-01,16.330000,17.650000,13.040000,14.190000,14.190000,0
2016-06-01,14.450000,26.719999,12.720000,15.630000,15.630000,0
2016-07-01,15.590000,17.040001,11.400000,11.870000,11.870000,0
2016-08-01,11.890000,14.930000,11.020000,13.420000,13.420000,0
2016-09-01,13.070000,20.510000,11.650000,13.290000,13.290000,0
2016-10-01,13.750000,17.950001,12.210000,17.059999,17.059999,0
2016-11-01,16.540001,23.010000,12.160000,13.330000,13.330000,0
2016-12-01,13.400000,14.720000,10.930000,14.040000,14.040000,0
2017-01-01,14.070000,14.070000,10.300000,11.990000,11.990000,0
2017-02-01,11.790000,12.960000,9.970000,12.920000,12.920000,0
2017-03-01,12.310000,15.110000,10.600000,12.370000,12.370000,0
2017-04-01,12.590000,16.280001,10.220000,10.820000,10.820000,0
2017-05-01,10.920000,16.299999,9.560000,10.410000,10.410000,0
2017-06-01,10.420000,15.160000,9.370000,11.180000,11.180000,0
2017-07-01,11.070000,13.050000,8.840000,10.260000,10.260000,0
2017-08-01,10.190000,17.280001,9.520000,10.590000,10.590000,0
2017-09-01,10.330000,14.060000,9.360000,9.510000,9.510000,0
2017-10-01,9.590000,13.200000,9.110000,10.180000,10.180000,0
2017-11-01,9.790000,14.510000,8.560000,11.280000,11.280000,0
2017-12-01,11.190000,14.580000,8.900000,11.040000,11.040000,0
2018-01-01,10.950000,15.420000,8.920000,13.540000,13.540000,0
2018-02-01,13.050000,50.299999,12.500000,19.850000,19.850000,0
2018-03-01,19.959999,26.219999,13.310000,19.969999,19.969999,0
2018-04-01,21.070000,25.719999,14.570000,15.930000,15.930000,0
2018-05-01,16.000000,18.780001,10.910000,15.430000,15.430000,0
2018-06-01,14.920000,19.610001,11.220000,16.090000,16.090000,0
2018-07-01,17.700001,18.080000,11.440000,12.830000,12.830000,0
2018-08-01,13.090000,16.860001,10.170000,12.860000,12.860000,0
2018-09-01,13.130000,15.630000,11.100000,12.120000,12.120000,0
2018-10-01,11.990000,28.840000,11.340000,21.230000,21.230000,0
2018-11-01,20.959999,23.809999,16.090000,18.070000,18.070000,0
2018-12-01,16.040001,36.200001,15.940000,25.420000,25.420000,0
2019-01-01,27.540001,28.530001,16.540001,16.570000,16.570000,0
2019-02-01,16.629999,17.889999,13.440000,14.780000,14.780000,0
2019-03-01,14.570000,18.330000,12.370000,13.710000,13.710000,0
2019-04-01,13.900000,14.390000,11.030000,13.120000,13.120000,0
2019-05-01,12.860000,23.379999,12.740000,18.709999,18.709999,0
2019-06-01,19.410000,19.750000,13.190000,15.080000,15.080000,0
2019-07-01,13.850000,16.549999,11.690000,16.120001,16.120001,0
2019-08-01,15.410000,24.809999,13.730000,18.980000,18.980000,0
2019-09-01,20.959999,21.150000,13.310000,16.240000,16.240000,0
2019-10-01,16.020000,21.459999,12.270000,13.220000,13.220000,0
2019-11-01,12.500000,14.170000,11.420000,12.620000,12.620000,0
2019-12-01,12.690000,17.990000,11.710000,13.780000,13.780000,0
2020-01-01,13.460000,19.990000,11.750000,18.840000,18.840000,0
2020-02-01,18.639999,49.480000,13.380000,40.110001,40.110001,0
2020-03-01,38.540001,85.470001,24.930000,53.540001,53.540001,0
2020-04-01,57.380001,60.590000,30.540001,34.150002,34.150002,0
2020-05-01,38.169998,40.320000,25.920000,27.510000,27.510000,0
2020-06-01,28.940001,44.439999,23.540001,30.430000,30.430000,0
2020-07-01,30.959999,33.669998,23.549999,24.459999,24.459999,0
2020-08-01,25.750000,27.090000,20.280001,26.410000,26.410000,0
2020-09-01,25.860001,38.279999,24.840000,26.370001,26.370001,0
2020-10-01,25.780001,41.160000,24.030001,38.020000,38.020000,0
2020-11-01,38.570000,38.779999,26.040001,27.580000,27.580000,0
2020-11-06,27.870001,28.680000,27.860001,28.469999,28.469999,0
