Date,Open,High,Low,Close,Adj Close,Volume
2015-11-01,44.139999,46.500000,43.169998,44.570000,44.570000,85188297
2015-12-01,44.610001,45.169998,35.990002,37.279999,37.279999,596999
2016-01-01,37.700001,38.990002,27.110001,34.709999,34.709999,232445875
2016-02-01,34.689999,36.990002,29.940001,35.970001,35.970001,683434
2016-03-01,35.959999,42.540001,35.959999,39.599998,39.599998,574821
2016-04-01,39.660000,48.490002,37.279999,48.130001,48.130001,605361
2016-05-01,48.099998,50.500000,43.340000,49.689999,49.689999,554323
2016-06-01,49.689999,52.849998,46.689999,49.680000,49.680000,543857
2016-07-01,49.840000,50.730000,41.820000,42.459999,42.459999,493196
2016-08-01,42.450001,51.220001,41.500000,47.040001,47.040001,566263
2016-09-01,47.049999,50.139999,45.090000,49.060001,49.060001,505286
2016-10-01,49.099998,53.730000,47.990002,48.299999,48.299999,575861
2016-11-01,48.330002,50.470001,43.580002,50.470001,50.470001,806223
2016-12-01,50.459999,57.490002,50.459999,56.130001,56.130001,656427
2017-01-01,57.049999,58.369999,53.570000,55.700001,55.700001,620510
2017-02-01,55.660000,57.430000,54.209999,55.590000,55.590000,555947
2017-03-01,55.599998,56.639999,49.639999,52.830002,52.830002,692804
2017-04-01,52.730000,56.630001,50.430000,51.730000,51.730000,546946
2017-05-01,51.660000,54.660000,46.650002,50.310001,50.310001,769381
2017-06-01,50.330002,50.730000,44.360001,47.919998,47.919998,657977
2017-07-01,47.869999,52.849998,46.119999,52.650002,52.650002,459431
2017-08-01,52.630001,53.630001,49.990002,52.380001,52.380001,719378
2017-09-01,52.320000,59.490002,51.980000,57.540001,57.540001,477658
2017-10-01,57.459999,61.380001,55.060001,61.369999,61.369999,526365
2017-11-01,61.290001,64.639999,60.040001,63.570000,63.570000,558759
2017-12-01,63.490002,67.080002,61.139999,66.599998,66.599998,472859
2018-01-01,66.419998,71.260002,66.230003,69.050003,69.050003,465261
2018-02-01,69.080002,70.010002,61.759998,65.779999,65.779999,567268
2018-03-01,65.709999,71.050003,63.200001,70.269997,70.269997,645241
2018-04-01,70.139999,75.459999,66.699997,75.169998,75.169998,662445
2018-05-01,75.169998,80.500000,72.370003,77.589996,77.589996,654964
2018-06-01,77.589996,79.699997,72.440002,79.440002,79.440002,684888
2018-07-01,79.410004,79.500000,71.199997,74.250000,74.250000,530127
2018-08-01,74.250000,78.000000,70.300003,77.419998,77.419998,402979
2018-09-01,78.190002,82.849998,75.639999,82.720001,82.720001,457907
2018-10-01,82.669998,86.720001,75.110001,75.470001,75.470001,781961
2018-11-01,75.500000,75.500000,57.520000,58.709999,58.709999,738706
2018-12-01,58.689999,63.709999,49.959999,52.200001,52.200001,1226537
2019-01-01,54.250000,63.119999,52.500000,61.889999,61.889999,1325301
2019-02-01,61.869999,67.730003,60.610001,66.029999,66.029999,1089748
2019-03-01,66.010002,68.879997,64.010002,67.820000,67.820000,1324426
2019-04-01,68.349998,75.589996,68.349998,72.800003,72.800003,1550445
2019-05-01,72.790001,73.389999,64.419998,72.620003,72.620003,1591310
2019-06-01,64.449997,66.860001,59.450001,66.550003,66.550003,896145
2019-07-01,66.500000,67.639999,0.000000,65.160004,65.160004,217245744
2019-08-01,65.190002,65.190002,55.880001,60.369999,60.369999,224367745
2019-09-01,59.070000,71.000000,57.220001,60.779999,60.779999,263048070
2019-10-01,60.750000,62.340000,56.150002,60.200001,60.200001,254187334
2019-11-01,60.209999,64.599998,60.209999,62.459999,62.459999,175167175
2019-12-01,62.400002,68.910004,0.000000,68.400002,68.400002,158423663
2020-01-01,66.470001,71.989998,57.730000,58.160000,58.160000,24445578
2020-02-01,58.200001,60.020000,50.119999,50.520000,50.520000,3366960
2020-03-01,50.480000,53.869999,21.690001,22.719999,22.719999,350577099
2020-04-01,22.760000,36.430000,16.000000,25.270000,25.270000,305490109
2020-05-01,25.290001,36.980000,25.290001,35.330002,35.330002,189533544
2020-06-01,35.320000,43.930000,35.320000,41.180000,41.180000,210473179
2020-07-01,41.130001,44.880001,41.130001,43.290001,43.290001,131586037
2020-08-01,43.259998,46.240002,43.240002,45.080002,45.080002,115695882
2020-09-01,45.849998,46.040001,39.279999,40.950001,40.950001,483298
2020-10-01,40.959999,43.599998,36.680000,37.459999,37.459999,646290
2020-11-01,37.459999,41.340000,37.459999,41.230000,41.230000,119522
